z_threshold,max_holding_days,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,profit_factor
1.5,5,-0.6632164260620854,-0.17955909685903748,-3.667444110447942,27,33.730158730158735,0.9678101376114181
1.5,6,0.21745635210839165,0.05863814253407406,-3.667137817041465,23,34.523809523809526,1.0157193701018277
1.5,7,-2.3701116807641975,-0.6421304055703558,-4.527295199987635,25,31.746031746031743,0.8805790665551406
1.5,8,-0.16005304059226733,-0.043026560288670676,-3.6674516193607327,20,34.12698412698413,0.9950410592209473
1.5,9,-2.999287881036794,-0.8059764997307932,-5.404431264042636,22,32.142857142857146,0.8503793270516501
1.5,10,-0.7113398933944359,-0.19341758351867386,-4.3852513093812435,18,33.730158730158735,0.9649310112418983
1.5,11,-0.6524231957056648,-0.17650615810762427,-4.4426917769858125,17,32.93650793650794,0.9684439573245568
1.5,12,0.6391265708797,0.17219232718396926,-3.6095278278496616,16,34.523809523809526,1.0392122845365979
1.5,13,-0.9845568611940636,-0.265346792930389,-3.9728224334640796,16,33.33333333333333,0.9508938630399385
1.5,14,-1.3625840581101833,-0.36924393200066524,-4.385251309381244,16,32.93650793650794,0.9310731649644879
1.5,15,-1.381875785771569,-0.3727165497260902,-4.385251309381174,16,32.93650793650794,0.9301953647990447
1.5,16,-1.2115691713380339,-0.3264497171379326,-4.385251309381282,16,32.93650793650794,0.9391370467072427
1.5,17,-0.5327639750008939,-0.14452879058208673,-4.385251309381205,15,33.730158730158735,0.9746954277149849
1.5,18,-0.5336049410212373,-0.14385921302947777,-4.385251309381237,15,33.730158730158735,0.9749401227928001
1.5,19,-1.075362983328354,-0.290763741394711,-4.566497695408556,16,33.33333333333333,0.9461097223823569
1.5,20,-0.473437978414859,-0.12807874596911473,-4.385251309381291,14,33.730158730158735,0.9779502332060137
2.0,5,-5.524903826827144,-1.4982194984050838,-6.372213043119741,25,29.761904761904763,0.734055332374912
2.0,6,-5.161952222686017,-1.4083587038750467,-6.652404886900721,24,31.349206349206348,0.7466382784826359
2.0,7,-4.610805539334029,-1.2531254579558746,-6.89206593621436,23,30.952380952380953,0.773551314261668
2.0,8,-6.087228851693382,-1.6431216432082958,-6.871337925086027,23,30.158730158730158,0.7099123835336859
2.0,9,-6.31410331693103,-1.7078105742949374,-7.688286106665814,23,29.761904761904763,0.6993395528551679
2.0,10,-3.5462637791499274,-0.9649445005771431,-5.637781492780746,20,31.349206349206348,0.8216624030841759
2.0,11,-2.4556759258159255,-0.6665438960841285,-4.920026984983358,19,31.746031746031743,0.8748946200511866
2.0,12,0.12329126651831057,0.033500113053915245,-3.6095278278496643,16,33.730158730158735,1.0105947553881331
2.0,13,-3.333136710083584,-0.9008201803264676,-5.184775473940708,17,32.142857142857146,0.8321359318613962
2.0,14,-1.8095556021484493,-0.49362664452600524,-4.385251309381235,15,32.142857142857146,0.9070329857046343
2.0,15,-1.8289033343839023,-0.4959993934554269,-4.385251309381206,15,32.142857142857146,0.9064932923263584
2.0,16,-2.776074446038057,-0.7514543267967663,-4.583009460958263,16,32.142857142857146,0.8593319612519351
2.0,17,-2.4371030446491027,-0.6627076424273513,-5.395007486837022,16,32.93650793650794,0.875631792908707
2.0,18,-2.723792601234143,-0.7377261863804,-5.479135467843247,16,32.142857142857146,0.862314045254471
2.0,19,-2.406024210809432,-0.6520712828489503,-5.513456430918567,16,32.142857142857146,0.8775837961230112
2.0,20,-2.2307846388712638,-0.6053465659470885,-5.052478029007695,16,32.142857142857146,0.8859681940067574
2.5,5,-6.042152984398763,-1.6649366680178856,-6.324635869938253,19,30.952380952380953,0.7060228096012173
2.5,6,-5.184357998535393,-1.4320507901247737,-6.051019231331708,18,31.746031746031743,0.7418932071760462
2.5,7,-6.44412943875996,-1.7692748425326867,-7.298597082023541,18,30.555555555555557,0.6892258266475825
2.5,8,-6.199282362567371,-1.7068575315451089,-6.700770680793293,16,30.555555555555557,0.6988197451498472
2.5,9,-6.637295939679355,-1.8266125913838074,-7.152925476562931,16,30.158730158730158,0.6808967269250499
2.5,10,-4.320061356701277,-1.191924645735952,-5.702868352036914,16,31.349206349206348,0.7822298022315002
2.5,11,-5.057558752922853,-1.386720916705787,-6.434858128437083,16,30.952380952380953,0.7498488290670504
2.5,12,-4.826746134762539,-1.3315407850335896,-5.873873226360153,15,30.555555555555557,0.7599255021192458
2.5,13,-5.010917762312383,-1.3769412602032387,-5.774015985170317,15,31.349206349206348,0.7516058534002192
2.5,14,-5.439843795538435,-1.498543945558931,-5.581014576376165,15,31.349206349206348,0.7320989061759626
2.5,15,-3.666934484095441,-1.0145985944837381,-4.8462444093064185,14,32.142857142857146,0.8130782473691358
2.5,16,-2.140162589551964,-0.5895104319121907,-4.026293642925214,13,34.92063492063492,0.8888973506338085
2.5,17,-2.066143536740861,-0.5692535560962929,-4.02629364292526,13,34.523809523809526,0.8926853052355503
2.5,18,-1.9216957949767521,-0.5294969713509816,-4.02629364292517,13,34.12698412698413,0.9001156336365111
2.5,19,-1.7519082361289628,-0.48269742648278746,-4.026293642925265,13,33.730158730158735,0.9089111420410513
2.5,20,-1.5165873691093679,-0.4178757260244727,-4.026293642925322,12,33.730158730158735,0.9210834283299001
