Date,beta,predicted,residual,z_score,soy_usd,usdbrl,signal,position,days_held,portfolio_value,position_size,cash,returns,cumulative_returns
2024-01-02,0.0004307320774686,4.933759637700356,-0.0813598116505511,-0.5780865459168192,1274.0,4.852399826049805,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-03,0.0004242187615052,4.93109565376944,-0.0085955202550351,-0.0617385636054486,1269.5,4.922500133514404,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-04,0.0004102212553526,4.928152961002461,-0.0089530174599801,-0.0657591000445827,1262.0,4.9191999435424805,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-05,0.000399841322463,4.9231025116528,-0.027502669581267,-0.2059432486552627,1249.75,4.895599842071533,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-08,0.0003878733440241,4.919640379176184,-0.0589731504774535,-0.4469605235795721,1239.5,4.8606672286987305,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-09,0.0003836638823737,4.920079106549345,-0.0510791485110146,-0.3888229046092749,1241.5,4.86899995803833,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-10,0.0003767331479144,4.915307791854405,-0.0102079230799905,-0.0781676839978189,1228.75,4.905099868774414,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-11,0.000368862500255,4.916895771426169,-0.0254959110440893,-0.1959463265953282,1231.25,4.89139986038208,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-12,0.0003634651066131,4.907944178844736,-0.0382442238581637,-0.294508282859596,1205.75,4.869699954986572,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-16,0.0003621496985799,4.915523935542916,-0.053324152217721,-0.4108697131461201,1227.25,4.862199783325195,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-17,0.0003591925156427,4.907640802754516,0.0172592521771246,0.1331597115965352,1205.75,4.924900054931641,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-18,0.0003534442306599,4.911270147684923,0.022729867573866,0.1754879991573997,1213.5,4.934000015258789,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-19,0.0003431332134361,4.912541433037688,0.0135583441839921,0.1050281116396078,1213.25,4.92609977722168,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-22,0.0003345704917766,4.917236744864724,-0.0125946397621845,-0.0978642137928067,1224.25,4.904642105102539,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-23,0.0003276077995795,4.922599257365073,0.0657005892840967,0.5130076953648942,1239.5,4.98829984664917,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-24,0.0003152607545659,4.924249383415418,0.0279505524976677,0.2192314680798868,1240.25,4.952199935913086,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-25,0.0003074448827785,4.919757114476272,0.0127427710828103,0.1001544033155809,1223.0,4.932499885559082,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-26,0.0003032427978036,4.916124445720611,-0.0003243511161183,-0.0025504050551064,1209.25,4.915800094604492,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-29,0.0003005747619239,4.911886788691835,0.0017131792647075,0.0134760948418871,1194.25,4.913599967956543,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-30,0.0002949181975733,4.919873507132666,0.0303265737389164,0.2388107406573849,1218.75,4.950200080871582,0,0,0,10000.0,0.0,10000.0,0.0,0.0
2024-01-31,0.0002865897234143,4.922037039871607,0.0282631768031977,0.222823323530932,1222.25,4.950300216674805,0,0,0,10000.0,0.0,10000.0,0.0,0.0
