Date,soy_usd,usdbrl
2010-09-13,1025.25,1.6679999828338623
2010-09-14,1025.0,1.7165000438690186
2010-09-15,1042.5,1.7015000581741333
2010-09-16,1036.25,1.7211999893188477
2010-09-17,1069.0,1.7174999713897705
2010-09-20,1084.5,1.6655000448226929
2010-09-21,1080.0,1.7265000343322754
2010-09-22,1088.5,1.7244999408721924
2010-09-23,1093.5,1.674299955368042
2010-09-24,1126.0,1.7177000045776367
2010-09-27,1128.5,1.6643999814987183
2010-09-28,1110.0,1.7089999914169312
2010-09-29,1099.0,1.7089999914169312
2010-09-30,1106.75,1.7035000324249268
2010-10-01,1057.0,1.6960999965667725
2010-10-04,1054.0,1.6334999799728394
2010-10-05,1071.75,1.6974999904632568
2010-10-06,1062.0,1.6690000295639038
2010-10-07,1065.0,1.684000015258789
2010-10-08,1135.0,1.6778000593185425
2010-10-11,1152.5,1.6258000135421753
2010-10-12,1178.5,1.6612999439239502
2010-10-13,1176.5,1.6699999570846558
2010-10-14,1188.5,1.652500033378601
2010-10-15,1185.0,1.660599946975708
2010-10-18,1184.0,1.6064000129699707
2010-10-19,1180.0,1.6720000505447388
2010-10-20,1212.0,1.690000057220459
2010-10-21,1201.5,1.6749999523162842
2010-10-22,1199.5,1.694000005722046
2010-10-25,1217.75,1.6439000368118286
2010-10-26,1219.0,1.6998000144958496
2010-10-27,1223.75,1.702299952507019
2010-10-28,1225.0,1.718999981880188
2010-10-29,1226.0,1.7135000228881836
2010-11-01,1225.25,1.6461999416351318
2010-11-02,1223.75,1.704300045967102
2010-11-03,1227.5,1.7009999752044678
2010-11-04,1264.75,1.6890000104904175
2010-11-05,1273.5,1.6747000217437744
2010-11-08,1264.5,1.6790000200271606
2010-11-09,1319.25,1.6959999799728394
2010-11-10,1309.5,1.6959999799728394
2010-11-11,1330.25,1.7100000381469727
2010-11-12,1263.0,1.721500039100647
2010-11-15,1286.5,1.6704000234603882
2010-11-16,1219.75,1.7200000286102295
2010-11-17,1205.0,1.7359999418258667
2010-11-18,1242.0,1.726199984550476
2010-11-19,1201.5,1.7109999656677246
2010-11-22,1221.5,1.6729999780654907
2010-11-23,1239.0,1.7208000421524048
2010-11-24,1255.0,1.7335000038146973
2010-11-26,1238.5,1.715499997138977
2010-11-29,1235.0,1.729599952697754
2010-11-30,1243.0,1.7170000076293945
2010-12-01,1283.0,1.7144999504089355
2010-12-02,1279.75,1.705899953842163
2010-12-03,1300.25,1.7015000581741333
2010-12-06,1288.5,1.6361000537872314
2010-12-07,1285.5,1.6813000440597534
2010-12-08,1296.0,1.6770000457763672
2010-12-09,1281.5,1.6920000314712524
2010-12-10,1273.0,1.7036000490188599
2010-12-13,1302.5,1.7050000429153442
2010-12-14,1296.0,1.6929999589920044
2010-12-15,1296.5,1.6929999589920044
2010-12-16,1289.0,1.6988999843597412
2010-12-17,1298.75,1.704300045967102
2010-12-20,1315.25,1.666200041770935
2010-12-21,1326.25,1.7065999507904053
2010-12-22,1328.75,1.7000000476837158
2010-12-23,1349.5,1.6990000009536743
2010-12-27,1373.0,1.6907000541687012
2010-12-28,1375.75,1.684999942779541
